# https://pt.wikipedia.org/wiki/Lista_de_institui%C3%A7%C3%B5es_de_ensino_superior_do_Brasil
# 31/02/2019
sigla	nome
UNILAVRAS	Centro Universitário de Lavras
UNILESTE	Centro Universitário do Leste de Minas Gerais
UNIMAR	Universidade de Marília
UNIMEP	Universidade Metodista de Piracicaba
UNIMES	Universidade Metropolitana de Santos
UNIMONTE	Centro Universitário Monte Serrat
UNIMONTES	Universidade Estadual de Montes Claros
UNINASSAU	Faculdade Maurício de Nassau
UNINGÁ	Faculdade Ingá
UNINILTONLINS	Centro Universitário Nilton Lins
UNINTER	Grupo Educacional Uninter
UNIOESTE	Universidade Estadual do Oeste do Paraná
UNIP	Universidade Paulista
UNIPAC	Universidade Presidente Antônio Carlos
UNIPAM	Centro Universitário de Patos de Minas
UNIPAMPA	Universidade Federal do Pampa
UNIPAR	Universidade Paranaense
UNIPB	Faculdade Unida da Paraíba
UNIPLAC	Universidade do Planalto Catarinense
UNIPLAN	Centro Universitário Planalto do Distrito Federal
UNIPÊ	Centro Universitário de João Pessoa
UNIR	Universidade Federal de Rondônia
UNIRB	Faculdade Serigy
UNIRIO	Universidade Federal do Estado do Rio de Janeiro
UNIRITTER	Centro Universitário Ritter dos Reis
UNIRON	Faculdade Interamericana de Porto Velho
UNIRONDON	Centro Universitário Cândido Rondon
UNIRP	Centro Universitário de Rio Preto
UNISA	Universidade de Santo Amaro
UNISAL	Centro Universitário Salesiano de São Paulo
UNISALESIANO	Centro Universitário Católico Salesiano Auxilium
UNISANT'ANNA	Universidade Sant'Anna
UNISANTA	Universidade Santa Cecília
UNISANTOS	Universidade Católica de Santos
UNISC	Universidade de Santa Cruz do Sul
UNISEB-Brasília	Centro Universitário Estácio UniSEB - Brasília
UNISEB-SP	Centro Universitário Estácio UniSEB - São Paulo
UNISEP	União de Ensino do Sudoeste do Paraná
UNISINOS	Universidade do Vale do Rio dos Sinos
UNISO	Universidade de Sorocaba
UNISUAM	Centro Universitário Augusto Motta
UNISUL	Universidade do Sul de Santa Catarina
UNITAU	Universidade de Taubaté
UNITINS	Fundação Universidade do Tocantins
UNITRI	Centro Universitário do Triângulo
UNIUBE	Universidade de Uberaba
UNIUOL	Faculdade de Tecnologia do Uniuol
UNIVAG	Centro Universitário de Várzea Grande
UNIVALE	Universidade Vale do Rio Doce
UNIVALI	Universidade do Vale do Itajaí
UNIVAP	Universidade do Vale do Paraíba
UNIVAR	Universidades Unidas do Vale do Araguaia-Barra do Garças
UNIVAS	Universidade do Vale do Sapucaí
UNIVASF	Universidade Federal do Vale do São Francisco
UNIVATES	Centro Universitário UNIVATES
UNIVEM	Centro Universitário Eurípedes de Marília
UNIVERITAS	Centro Universitário Universus Veritas
UNIVERSITAS	Centro Universitário de Itajubá
UNIVERSO	Universidade Salgado de Oliveira
UNIVESP	Universidade Virtual do Estado de São Paulo
UNIVILLE	Universidade da Região de Joinville
UNIVIÇOSA	União de Ensino Superior de Viçosa
UNOCHAPECÓ	Universidade Comunitária Regional de Chapecó
UNOESC	Universidade do Oeste de Santa Catarina
UNOESTE	Universidade do Oeste Paulista
UNORP	Centro Universitário do Norte Paulista
UNP	Universidade Potiguar
UP	Universidade Positivo
UPA	Universidade Patativa do Assaré
UPF	Universidade de Passo Fundo
UPIS	União Pioneira de Integração Social
URCA	Universidade Regional do Cariri
URCAMP	Universidade da Região da Campanha
URI	Universidade Regional Integrada do Alto Uruguai e das Missões
USCS	Universidade Municipal de São Caetano do Sul
USF	Universidade São Francisco
USJ	Universidade Municipal de São José
USJT	Universidade São Judas Tadeu
USP	Universidade de São Paulo
USS	Universidade Severino Sombra
USU	Universidade Santa Úrsula
UTFPR	Universidade Tecnológica Federal do Paraná
UTP	Universidade Tuiuti do Paraná
UVV	Universidade Vila Velha
Uea	Universidade do Estado do Amazonas
Ueap	Universidade Estadual do Amapá
Ufac	Universidade Federal do Acre
Ufal	Universidade Federal de Alagoas
Ufam	Universidade Federal do Amazonas
UnB	Universidade de Brasília
Uncisal	Universidade Estadual de Ciências da Saúde de Alagoas
Uneal	Universidade Estadual de Alagoas
Uni-FACEF	Centro Universitário de Franca
UniABC	Universidade do Grande ABC
UniCOC	Sistema COC de Educação
UniEvangelica	Universidade Evangélica
UniRV (FESURV)	Universidade de Rio Verde
UniSãopaulo	Instituto São Paulo de Formação e Especialização Profissional
Unianhanguera	Universidade Anhanguera
Unifap	Universidade Federal do Amapá
Unip	Universidade Paulista
UnirG	Centro Universitário UnirG
Unisalle	Faculdade La Salle
Unit	Universidade Tiradentes
Univel	União Educacional de Cascavel
